nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 boulevard Auguste Blanqui NE-SO,2023,2,11,5,1,0,0.0,0.0,5.5,0,0,0,769.0
10 boulevard Auguste Blanqui NE-SO,2023,2,12,6,1,0,0.0,0.0,7.5,0,0,2,590.0
10 boulevard Auguste Blanqui NE-SO,2023,2,13,0,0,0,0.0,0.0,8.0,0,0,2,1138.0
10 boulevard Auguste Blanqui NE-SO,2023,2,14,1,0,0,0.0,0.0,8.75,0,0,2,1297.0
10 boulevard Auguste Blanqui NE-SO,2023,2,15,2,0,0,0.0,0.0,8.5,0,0,2,1185.0
10 boulevard Auguste Blanqui NE-SO,2023,2,16,3,0,0,0.0,0.0,8.75,0,0,1,1127.0
10 boulevard Auguste Blanqui NE-SO,2023,2,17,4,0,0,0.0,0.0,11.5,0,0,1,1164.0
10 boulevard Auguste Blanqui NE-SO,2023,2,18,5,1,0,0.0,0.0,10.75,0,0,1,746.0
10 boulevard Auguste Blanqui NE-SO,2023,2,19,6,1,0,0.0,0.0,11.75,0,0,1,665.0
10 boulevard Auguste Blanqui NE-SO,2023,2,20,0,0,0,0.0,0.0,10.0,0,0,2,972.0
10 boulevard Auguste Blanqui NE-SO,2023,2,21,1,0,0,0.0,0.0,9.75,0,0,2,1054.0
10 boulevard Auguste Blanqui NE-SO,2023,2,22,2,0,0,0.3,0.0,10.0,0,0,1,942.0
10 boulevard Auguste Blanqui NE-SO,2023,2,23,3,0,0,0.3,0.0,8.0,0,0,1,1051.0
10 boulevard Auguste Blanqui NE-SO,2023,2,24,4,0,0,0.0,0.0,6.75,0,0,0,922.0
10 boulevard Auguste Blanqui NE-SO,2023,2,25,5,1,0,0.0,0.0,5.5,0,0,0,672.0
10 boulevard Auguste Blanqui NE-SO,2023,2,26,6,1,0,0.0,0.0,4.0,0,0,0,477.0
10 boulevard Auguste Blanqui NE-SO,2023,2,27,0,0,0,0.0,0.0,3.5,0,0,0,736.0
10 boulevard Auguste Blanqui NE-SO,2023,2,28,1,0,0,0.0,0.0,2.75,0,0,0,845.0
10 boulevard Auguste Blanqui NE-SO,2023,3,1,2,0,0,0.0,0.0,3.5,0,0,0,854.0
10 boulevard Auguste Blanqui NE-SO,2023,3,2,3,0,0,0.0,0.0,3.75,0,0,0,815.0
10 boulevard Auguste Blanqui NE-SO,2023,3,3,4,0,0,0.0,0.0,5.25,0,0,0,824.0
10 boulevard Auguste Blanqui NE-SO,2023,3,4,5,1,0,0.0,0.0,3.25,0,0,0,599.0
10 boulevard Auguste Blanqui NE-SO,2023,3,5,6,1,0,0.0,0.0,6.5,0,0,0,559.0
10 boulevard Auguste Blanqui NE-SO,2023,3,6,0,0,0,0.0,0.0,6.0,0,0,0,1107.0
10 boulevard Auguste Blanqui NE-SO,2023,3,7,1,0,0,0.0,0.0,5.75,0,0,0,1414.0
10 boulevard Auguste Blanqui NE-SO,2023,3,8,2,0,0,3.0,0.0,10.25,0,0,1,1151.0
10 boulevard Auguste Blanqui NE-SO,2023,3,9,3,0,0,0.8,0.0,11.75,0,0,1,1197.0
10 boulevard Auguste Blanqui NE-SO,2023,3,10,4,0,0,0.4,0.0,7.75,0,0,1,887.0
10 boulevard Auguste Blanqui NE-SO,2023,3,11,5,1,0,0.0,0.0,5.25,0,0,0,746.0
10 boulevard Auguste Blanqui NE-SO,2023,3,12,6,1,0,0.1,0.0,10.75,0,0,1,657.0
10 boulevard Auguste Blanqui NE-SO,2023,3,13,0,0,0,0.1,0.0,14.5,0,0,1,1101.0
10 boulevard Auguste Blanqui NE-SO,2023,3,14,1,0,0,0.6,0.0,9.5,0,0,1,777.0
10 boulevard Auguste Blanqui NE-SO,2023,3,15,2,0,0,0.0,0.0,5.75,0,0,0,1049.0
10 boulevard Auguste Blanqui NE-SO,2023,3,16,3,0,0,0.0,0.0,10.75,0,0,2,1207.0
10 boulevard Auguste Blanqui NE-SO,2023,3,17,4,0,0,0.0,0.0,12.5,0,0,2,1084.0
10 boulevard Auguste Blanqui NE-SO,2023,3,18,5,1,0,0.3,0.0,12.5,0,0,1,775.0
10 boulevard Auguste Blanqui NE-SO,2023,3,19,6,1,0,0.0,0.0,12.0,0,0,1,595.0
10 boulevard Auguste Blanqui NE-SO,2023,3,20,0,0,0,0.0,0.0,11.75,0,0,2,1187.0
